DATABASE_ID,MOLECULAR_WEIGHT,DRUG_GROUPS,GENERIC_NAME,SMILES,drug,Property,Value,Probability
DB00801,352.738,approved,Halazepam,FC(F)(F)CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,DB00801,Blood Brain Barrier,+,0.9966
DB04951,185.2218,approved,Pirfenidone,CC1=CN(C(=O)C=C1)C1=CC=CC=C1,DB04951,Blood Brain Barrier,+,0.996
DB01437,217.2637,approved,Glutethimide,CCC1(CCC(=O)NC1=O)C1=CC=CC=C1,DB01437,Blood Brain Barrier,+,0.996
DB00674,287.3535,approved,Galantamine,[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=C1C(O2)=C(OC)C=C3,DB00674,Blood Brain Barrier,+,0.9959
DB01107,183.2475,approved,Methyprylon,CCC1(CC)C(=O)NCC(C)C1=O,DB01107,Blood Brain Barrier,+,0.9958
DB00564,236.2686,approved,Carbamazepine,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,DB00564,Blood Brain Barrier,+,0.9958
DB00854,257.3706,approved,Levorphanol,[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2,DB00854,Blood Brain Barrier,+,0.9953
DB00377,296.414,approved,Palonosetron,[H][C@]12CCCC3=C1C(=CC=C3)C(=O)N(C2)[C@@H]1CN2CCC1CC2,DB00377,Blood Brain Barrier,+,0.9953
DB00843,379.492,approved,Donepezil,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,DB00843,Blood Brain Barrier,+,0.9953
DB00340,309.468,approved,Metixene,CN1CCCC(CC2C3=CC=CC=C3SC3=CC=CC=C23)C1,DB00340,Blood Brain Barrier,+,0.995
DB01097,270.2073,approved,Leflunomide,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,DB01097,Blood Brain Barrier,+,0.9949
DB00902,296.43,approved,Methdilazine,CN1CCC(CN2C3=CC=CC=C3SC3=CC=CC=C23)C1,DB00902,Blood Brain Barrier,+,0.9949
DB00504,283.4079,approved,Levallorphan,[H][C@@]12CCCC[C@@]11CCN(CC=C)[C@@H]2CC2=C1C=C(O)C=C2,DB00504,Blood Brain Barrier,+,0.9948
DB00745,273.35,approved,Modafinil,NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,DB00745,Blood Brain Barrier,+,0.9947
DB01189,168.0378,approved,Desflurane,FC(F)OC(F)C(F)(F)F,DB01189,Blood Brain Barrier,+,0.9941
DB01236,200.0548,approved,Sevoflurane,FCOC(C(F)(F)F)C(F)(F)F,DB01236,Blood Brain Barrier,+,0.9941
DB00228,184.492,approved,Enflurane,FC(F)OC(F)(F)C(F)Cl,DB00228,Blood Brain Barrier,+,0.994
DB00192,308.4174,approved,Indecainide,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,DB00192,Blood Brain Barrier,+,0.994
DB00753,184.492,approved,Isoflurane,FC(F)OC(Cl)C(F)(F)F,DB00753,Blood Brain Barrier,+,0.994
DB00265,203.2802,approved,Crotamiton,CCN(C(=O)C=CC)C1=CC=CC=C1C,DB00265,Blood Brain Barrier,+,0.9939
DB01058,312.4061,approved,Praziquantel,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,DB01058,Blood Brain Barrier,+,0.9939
DB00754,204.2252,approved,Ethotoin,CCN1C(=O)NC(C1=O)C1=CC=CC=C1,DB00754,Blood Brain Barrier,+,0.9936
DB01121,178.1879,approved,Phenacemide,NC(=O)NC(=O)CC1=CC=CC=C1,DB01121,Blood Brain Barrier,+,0.9935
DB00201,194.1906,approved,Caffeine,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,DB00201,Blood Brain Barrier,+,0.9935
DB01403,328.472,approved,Methotrimeprazine,COC1=CC2=C(SC3=C(C=CC=C3)N2C[C@H](C)CN(C)C)C=C1,DB01403,Blood Brain Barrier,+,0.9935
DB00829,284.74,approved,Diazepam,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,DB00829,Blood Brain Barrier,+,0.9934
DB01588,324.804,approved,Prazepam,ClC1=CC2=C(C=C1)N(CC1CC1)C(=O)CN=C2C1=CC=CC=C1,DB01588,Blood Brain Barrier,+,0.9934
DB00980,259.3434,approved,Ramelteon,CCC(=O)NCC[C@@H]1CCC2=C1C1=C(OCC1)C=C2,DB00980,Blood Brain Barrier,+,0.9934
DB01435,188.2258,approved,Antipyrine,CN1N(C(=O)C=C1C)C1=CC=CC=C1,DB01435,Blood Brain Barrier,+,0.9931
DB00327,285.3377,approved,Hydromorphone,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O,DB00327,Blood Brain Barrier,+,0.9931
DB00812,308.3743,approved,Phenylbutazone,CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,DB00812,Blood Brain Barrier,+,0.9931
DB00245,307.4293,approved,Benzatropine,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,DB00245,Blood Brain Barrier,+,0.9929
DB01065,232.2783,approved,Melatonin,COC1=CC=C2NC=C(CCNC(C)=O)C2=C1,DB01065,Blood Brain Barrier,+,0.9928
DB01012,357.412,approved,Cinacalcet,C[C@@H](NCCCC1=CC(=CC=C1)C(F)(F)F)C1=CC=CC2=CC=CC=C12,DB01012,Blood Brain Barrier,+,0.9927
DB06148,264.3648,approved,Mianserin,CN1CCN2C(C1)C1=CC=CC=C1CC1=CC=CC=C21,DB06148,Blood Brain Barrier,+,0.9926
DB00734,410.4845,approved,Risperidone,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1,DB00734,Blood Brain Barrier,+,0.9925
DB06594,243.301,approved,Agomelatine,COC1=CC2=C(C=CC=C2CCNC(C)=O)C=C1,DB06594,Blood Brain Barrier,+,0.9923
DB00920,309.425,approved,Ketotifen,CN1CCC(CC1)=C1C2=C(SC=C2)C(=O)CC2=CC=CC=C12,DB00920,Blood Brain Barrier,+,0.9923
DB01031,167.205,approved,Ethinamate,NC(=O)OC1(CCCCC1)C#C,DB01031,Blood Brain Barrier,+,0.9923
DB04827,89.0932,approved,Urethane,CCOC(N)=O,DB04827,Blood Brain Barrier,+,0.9922
DB01090,240.428,approved,Pentolinium,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,DB01090,Blood Brain Barrier,+,0.9922
DB01028,164.966,approved,Methoxyflurane,COC(F)(F)C(Cl)Cl,DB01028,Blood Brain Barrier,+,0.9921
DB01238,448.385,approved,Aripiprazole,ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl,DB01238,Blood Brain Barrier,+,0.992
DB01619,261.3609,approved,Phenindamine,CN1CCC2=C(C1)C(C1=CC=CC=C21)C1=CC=CC=C1,DB01619,Blood Brain Barrier,+,0.9918
DB06802,254.2839,approved,Nepafenac,NC(=O)CC1=CC=CC(C(=O)C2=CC=CC=C2)=C1N,DB06802,Blood Brain Barrier,+,0.9918
DB00283,343.89,approved,Clemastine,CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,DB00283,Blood Brain Barrier,+,0.9918
DB00392,312.472,approved,Profenamine,CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C12,DB00392,Blood Brain Barrier,+,0.9915
DB01146,281.392,approved,Diphenylpyraline,CN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1,DB01146,Blood Brain Barrier,+,0.9912
DB02701,122.1246,approved,Nicotinamide,NC(=O)C1=CN=CC=C1,DB02701,Blood Brain Barrier,+,0.9911
DB00356,169.565,approved,Chlorzoxazone,ClC1=CC2=C(OC(=O)N2)C=C1,DB00356,Blood Brain Barrier,+,0.991
DB01166,369.4607,approved,Cilostazol,O=C1CCC2=C(N1)C=CC(OCCCCC1=NN=NN1C1CCCCC1)=C2,DB01166,Blood Brain Barrier,+,0.9909
DB00357,232.2783,approved,Aminoglutethimide,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1,DB00357,Blood Brain Barrier,+,0.9908
DB06781,508.5515,approved,Difluprednate,[H][C@@]12CC[C@](OC(=O)CCC)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,DB06781,Blood Brain Barrier,+,0.9908
DB01273,211.2624,approved,Varenicline,[H][C@]12C[C@]([H])(CNC1)C1=CC3=NC=CN=C3C=C21,DB01273,Blood Brain Barrier,+,0.9908
DB08815,492.676,approved,Lurasidone,[H][C@@]12[C@H]3CC[C@H](C3)[C@]1([H])C(=O)N(C[C@@H]1CCCC[C@H]1CN1CCN(CC1)C1=NSC3=CC=CC=C13)C2=O,DB08815,Blood Brain Barrier,+,0.9907
DB00556,188.0193,approved,Perflutren,FC(F)(F)C(F)(F)C(F)(F)F,DB00556,Blood Brain Barrier,+,0.9907
DB01224,383.507,approved,Quetiapine,OCCOCCN1CCN(CC1)C1=NC2=CC=CC=C2SC2=CC=CC=C12,DB01224,Blood Brain Barrier,+,0.9906
DB00208,263.786,approved,Ticlopidine,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,DB00208,Blood Brain Barrier,+,0.9906
DB00551,75.0666,approved,Acetohydroxamic acid,CC(=O)NO,DB00551,Blood Brain Barrier,+,0.9906
DB00648,320.041,approved,Mitotane,ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=CC=C1Cl,DB00648,Blood Brain Barrier,+,0.9905
DB00349,300.74,approved,Clobazam,CN1C2=C(C=C(Cl)C=C2)N(C2=CC=CC=C2)C(=O)CC1=O,DB00349,Blood Brain Barrier,+,0.9904
DB00934,277.4033,approved,Maprotiline,CNCCCC12CCC(C3=CC=CC=C13)C1=CC=CC=C21,DB00934,Blood Brain Barrier,+,0.9903
DB01213,82.1038,approved,Fomepizole,CC1=CNN=C1,DB01213,Blood Brain Barrier,+,0.9902
DB00277,180.164,approved,Theophylline,CN1C2=C(NC=N2)C(=O)N(C)C1=O,DB00277,Blood Brain Barrier,+,0.9902
DB00679,370.575,approved,Thioridazine,CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1,DB00679,Blood Brain Barrier,+,0.9901
DB00813,336.4705,approved,Fentanyl,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,DB00813,Blood Brain Barrier,+,0.9901
DB00690,387.878,approved,Flurazepam,CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F,DB00690,Blood Brain Barrier,+,0.9898
DB00288,502.5717,approved,Amcinonide,[H][C@@]12C[C@H]3OC4(CCCC4)O[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,DB00288,Blood Brain Barrier,+,0.9897
DB01116,365.512,approved,Trimethaphan,O=C1N(CC2=CC=CC=C2)C2C[S+]3CCCC3C2N1CC1=CC=CC=C1,DB01116,Blood Brain Barrier,+,0.9897
DB00951,137.1393,approved,Isoniazid,NNC(=O)C1=CC=NC=C1,DB00951,Blood Brain Barrier,+,0.9895
DB01159,197.382,approved,Halothane,[H]C(Cl)(Br)C(F)(F)F,DB01159,Blood Brain Barrier,+,0.9895
DB01188,207.2689,approved,Ciclopirox,CC1=CC(=O)N(O)C(=C1)C1CCCCC1,DB01188,Blood Brain Barrier,+,0.9892
DB01452,369.411,approved,Diamorphine,[H][C@@]12C=C[C@H](OC(C)=O)[C@@H]3OC4=C(OC(C)=O)C=CC5=C4[C@]13CCN(C)[C@@H]2C5,DB01452,Blood Brain Barrier,+,0.9892
DB04896,246.354,approved,Milnacipran,CCN(CC)C(=O)C1(CC1CN)C1=CC=CC=C1,DB04896,Blood Brain Barrier,+,0.9889
DB08918,246.348,approved,Levomilnacipran,CCN(CC)C(=O)[C@]1(C[C@H]1CN)C1=CC=CC=C1,DB08918,Blood Brain Barrier,+,0.9889
DB00708,386.551,approved,Sufentanil,CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1,DB00708,Blood Brain Barrier,+,0.9886
DB01246,298.446,approved,Alimemazine,CC(CN(C)C)CN1C2=CC=CC=C2SC2=CC=CC=C12,DB01246,Blood Brain Barrier,+,0.9886
DB00497,315.3636,approved,Oxycodone,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1(O)CCC2=O,DB00497,Blood Brain Barrier,+,0.9885
DB00437,136.1115,approved,Allopurinol,OC1=NC=NC2=C1C=NN2,DB00437,Blood Brain Barrier,+,0.9885
DB01126,528.5297,approved,Dutasteride,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])NC(=O)C=C[C@]4(C)[C@@]3([H])CC[C@]12C)C(=O)NC1=CC(=CC=C1C(F)(F)F)C(F)(F)F,DB01126,Blood Brain Barrier,+,0.9884
DB00904,293.363,approved,Ondansetron,CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2,DB00904,Blood Brain Barrier,+,0.9882
DB00295,285.3377,approved,Morphine,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,DB00295,Blood Brain Barrier,+,0.9882
DB00634,214.242,approved,Sulfacetamide,CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,DB00634,Blood Brain Barrier,+,0.9881
DB00543,313.781,approved,Amoxapine,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1,DB00543,Blood Brain Barrier,+,0.988
DB00853,194.1508,approved,Temozolomide,CN1N=NC2=C(N=CN2C1=O)C(N)=O,DB00853,Blood Brain Barrier,+,0.9879
DB01625,353.5209,approved,Isopropamide,CC(C)[N+](C)(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=C1)C(C)C,DB01625,Blood Brain Barrier,+,0.9878
DB00561,378.5072,approved,Doxapram,CCN1CC(CCN2CCOCC2)C(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1,DB00561,Blood Brain Barrier,+,0.9877
DB00454,247.3327,approved,Meperidine,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,DB00454,Blood Brain Barrier,+,0.9876
DB00527,343.4632,approved,Cinchocaine,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,DB00527,Blood Brain Barrier,+,0.9876
DB01656,403.207,approved,Roflumilast,FC(F)OC1=C(OCC2CC2)C=C(C=C1)C(=O)NC1=C(Cl)C=NC=C1Cl,DB01656,Blood Brain Barrier,+,0.9874
DB06690,44.0128,approved,Nitrous oxide,[O-][N+]#N,DB06690,Blood Brain Barrier,+,0.9872
DB01186,314.488,approved,Pergolide,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@@H](CSC)CN2CCC,DB01186,Blood Brain Barrier,+,0.9871
DB00420,284.419,approved,Promazine,CN(C)CCCN1C2=CC=CC=C2SC2=CC=CC=C12,DB00420,Blood Brain Barrier,+,0.987
DB00715,329.3654,approved,Paroxetine,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1,DB00715,Blood Brain Barrier,+,0.9869
DB00574,231.2573,approved,Fenfluramine,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F,DB00574,Blood Brain Barrier,+,0.9868
DB01191,231.2573,approved,Dexfenfluramine,CCN[C@@H](C)CC1=CC=CC(=C1)C(F)(F)F,DB01191,Blood Brain Barrier,+,0.9868
DB04160,177.9751,approved,Pyrophosphoric acid,OP(O)(=O)OP(O)(O)=O,DB04160,Blood Brain Barrier,+,0.9868
DB01004,255.2306,approved,Ganciclovir,NC1=NC2=C(N=CN2COC(CO)CO)C(=O)N1,DB01004,Blood Brain Barrier,+,0.9866
DB00458,280.4073,approved,Imipramine,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12,DB00458,Blood Brain Barrier,+,0.9865
DB00371,218.2502,approved,Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O,DB00371,Blood Brain Barrier,+,0.9864
DB00865,239.3553,approved,Benzphetamine,C[C@@H](CC1=CC=CC=C1)N(C)CC1=CC=CC=C1,DB00865,Blood Brain Barrier,+,0.9864
DB00933,386.574,approved,Mesoridazine,CN1CCCCC1CCN1C2=C(SC3=C1C=C(C=C3)S(C)=O)C=CC=C2,DB00933,Blood Brain Barrier,+,0.9863
DB04826,286.435,approved,Thenalidine,CN1CCC(CC1)N(CC1=CC=CS1)C1=CC=CC=C1,DB04826,Blood Brain Barrier,+,0.9862
DB00431,290.83,approved,Lindane,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,DB00431,Blood Brain Barrier,+,0.9862
DB00344,263.3767,approved,Protriptyline,CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,DB00344,Blood Brain Barrier,+,0.9862
DB00726,294.4338,approved,Trimipramine,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12,DB00726,Blood Brain Barrier,+,0.9861
DB02546,264.3202,approved,Vorinostat,ONC(=O)CCCCCCC(=O)NC1=CC=CC=C1,DB02546,Blood Brain Barrier,+,0.9861
DB00434,287.3981,approved,Cyproheptadine,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,DB00434,Blood Brain Barrier,+,0.986
DB00998,243.3043,approved,Frovatriptan,CN[C@@H]1CCC2=C(C1)C1=C(N2)C=CC(=C1)C(N)=O,DB00998,Blood Brain Barrier,+,0.986
DB00236,356.054,approved,Pipobroman,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,DB00236,Blood Brain Barrier,+,0.9859
DB00849,246.2619,approved,Methylphenobarbital,CCC1(C(=O)NC(=O)N(C)C1=O)C1=CC=CC=C1,DB00849,Blood Brain Barrier,+,0.9859
DB04908,390.4021,approved,Flibanserin,FC(F)(F)C1=CC(=CC=C1)N1CCN(CCN2C(=O)NC3=CC=CC=C23)CC1,DB04908,Blood Brain Barrier,+,0.9857
DB00645,289.4125,approved,Dyclonine,CCCCOC1=CC=C(C=C1)C(=O)CCN1CCCCC1,DB00645,Blood Brain Barrier,+,0.9856
DB01069,284.419,approved,Promethazine,CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C,DB01069,Blood Brain Barrier,+,0.9855
DB00370,265.3529,approved,Mirtazapine,CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1,DB00370,Blood Brain Barrier,+,0.9855
DB01168,221.2988,approved,Procarbazine,CNNCC1=CC=C(C=C1)C(=O)NC(C)C,DB01168,Blood Brain Barrier,+,0.9855
DB01151,266.3807,approved,Desipramine,CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C12,DB01151,Blood Brain Barrier,+,0.9854
DB00989,250.3367,approved,Rivastigmine,CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C,DB00989,Blood Brain Barrier,+,0.9853
DB00806,278.307,approved,Pentoxifylline,CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C,DB00806,Blood Brain Barrier,+,0.9851
DB00711,199.2932,approved,Diethylcarbamazine,CCN(CC)C(=O)N1CCN(C)CC1,DB00711,Blood Brain Barrier,+,0.9851
DB00394,521.042,approved,Beclomethasone dipropionate,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,DB00394,Blood Brain Barrier,+,0.9851
DB01380,402.4807,approved,Cortisone acetate,[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,DB01380,Blood Brain Barrier,+,0.9851
DB01011,226.2738,approved,Metyrapone,CC(C)(C(=O)C1=CN=CC=C1)C1=CC=CN=C1,DB01011,Blood Brain Barrier,+,0.985
DB01558,316.153,approved,Bromazepam,BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,DB01558,Blood Brain Barrier,+,0.9848
DB04946,426.4806,approved,Iloperidone,COC1=C(OCCCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C=CC(=C1)C(C)=O,DB04946,Blood Brain Barrier,+,0.9848
DB00372,399.616,approved,Thiethylperazine,CCSC1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1,DB00372,Blood Brain Barrier,+,0.9847
DB00758,321.822,approved,Clopidogrel,[H][C@@](N1CCC2=C(C1)C=CS2)(C(=O)OC)C1=CC=CC=C1Cl,DB00758,Blood Brain Barrier,+,0.9847
DB01579,191.274,approved,Phendimetrazine,C[C@H]1[C@@H](OCCN1C)C1=CC=CC=C1,DB01579,Blood Brain Barrier,+,0.9846
DB01424,231.2936,approved,Aminophenazone,CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1,DB01424,Blood Brain Barrier,+,0.9845
DB00805,298.3828,approved,Minaprine,CC1=CC(=NN=C1NCCN1CCOCC1)C1=CC=CC=C1,DB00805,Blood Brain Barrier,+,0.9843
DB00306,224.2563,approved,Talbutal,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,DB00306,Blood Brain Barrier,+,0.984
DB01130,488.577,approved,Prednicarbate,[H][C@@]12CC[C@](OC(=O)OCC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,DB01130,Blood Brain Barrier,+,0.984
DB00508,352.417,approved,Triflupromazine,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(F)(F)F,DB00508,Blood Brain Barrier,+,0.9839
DB00490,385.5031,approved,Buspirone,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,DB00490,Blood Brain Barrier,+,0.9839
DB04821,238.3275,approved,Nomifensine,CN1CC(C2=CC=CC=C2)C2=C(C1)C(N)=CC=C2,DB04821,Blood Brain Barrier,+,0.9837
DB01153,437.77,approved,Sertaconazole,ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC1=CSC2=C1C=CC=C2Cl,DB01153,Blood Brain Barrier,+,0.9837
DB00257,344.837,approved,Clotrimazole,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,DB00257,Blood Brain Barrier,+,0.9837
DB00777,340.482,approved,Propiomazine,CCC(=O)C1=CC2=C(SC3=CC=CC=C3N2CC(C)N(C)C)C=C1,DB00777,Blood Brain Barrier,+,0.9837
DB01377,40.304,approved,Magnesium oxide,[O--].[Mg++],DB01377,Blood Brain Barrier,+,0.9837
DB01744,152.2334,approved,Camphor,[H][C@@]12CC[C@@](C)(C(=O)C1)C2(C)C,DB01744,Blood Brain Barrier,+,0.9836
DB01187,416.3368,approved,Iophendylate,CCOC(=O)CCCCCCCCC(C)C1=CC=CC=C1I,DB01187,Blood Brain Barrier,+,0.9833
DB00298,325.4512,approved,Dapiprazole,CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1,DB00298,Blood Brain Barrier,+,0.9832
DB06215,231.531,approved,Ferumoxytol,[O--].[O--].[O--].[O--].[Fe++].[Fe+3].[Fe+3],DB06215,Blood Brain Barrier,+,0.9831
DB01230,176.172,approved,Pemoline,NC1=NC(=O)C(O1)C1=CC=CC=C1,DB01230,Blood Brain Barrier,+,0.983
DB00472,309.3261,approved,Fluoxetine,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,DB00472,Blood Brain Barrier,+,0.983
DB00656,371.864,approved,Trazodone,ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1,DB00656,Blood Brain Barrier,+,0.9829
DB06714,155.2804,approved,Propylhexedrine,CNC(C)CC1CCCCC1,DB06714,Blood Brain Barrier,+,0.9829
DB04794,310.3917,approved,Bifonazole,C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1,DB04794,Blood Brain Barrier,+,0.9828
DB00631,303.677,approved,Clofarabine,[H][C@]1(F)[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=C(Cl)N=C12,DB00631,Blood Brain Barrier,+,0.9827
DB01221,237.725,approved,Ketamine,CNC1(CCCCC1=O)C1=CC=CC=C1Cl,DB01221,Blood Brain Barrier,+,0.9826
DB00719,290.4021,approved,Azatadine,CN1CCC(CC1)=C1C2=CC=CC=C2CCC2=C1N=CC=C2,DB00719,Blood Brain Barrier,+,0.9826
DB00547,376.4617,approved,Desoximetasone,[H][C@@]12C[C@@H](C)[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,DB00547,Blood Brain Barrier,+,0.9825
DB00712,244.2609,approved,Flurbiprofen,CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1,DB00712,Blood Brain Barrier,+,0.9824
